,sub,SR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment
58,62f3b543dce069211e8e982c_study6_2023-08-14_17h41.48.779.csv,0.3333333333333333,0.5,0.25,0.0,1.1419,0.9003,2,5.0,0,4
59,62f3b543dce069211e8e982c_study6_2023-08-14_17h41.48.779.csv,0.3333333333333333,0.5,0.25,0.0,0.7707,0.9003,5,3.0,0,4
60,62f3b543dce069211e8e982c_study6_2023-08-14_17h41.48.779.csv,0.3333333333333333,0.5,0.25,0.0,0.8524,0.9003,6,4.0,1,4
61,62f3b543dce069211e8e982c_study6_2023-08-14_17h41.48.779.csv,0.3333333333333333,0.5,0.25,0.0,1.7076,0.9003,7,7.0,1,4
62,55da1c4669dbc30010b67569_study6_2023-08-14_18h05.01.462.csv,0.0,0.5,0.5,0.25,1.1511,0.8839,2,5.0,0,4
63,55da1c4669dbc30010b67569_study6_2023-08-14_18h05.01.462.csv,0.0,0.5,0.5,0.25,1.4027,0.8839,3,0.0,0,4
64,55da1c4669dbc30010b67569_study6_2023-08-14_18h05.01.462.csv,0.0,0.5,0.5,0.25,1.7735,0.8839,5,1.0,0,4
65,55da1c4669dbc30010b67569_study6_2023-08-14_18h05.01.462.csv,0.0,0.5,0.5,0.25,0.8914,0.8839,8,4.0,0,4
66,5study6_2023-08-14_17h32.13.327.csv,0.16666666666666666,0.5,0.5,0.0,1.1041,0.6859,2,4.0,0,4
67,5study6_2023-08-14_17h32.13.327.csv,0.16666666666666666,0.5,0.5,0.0,1.0754,0.6859,4,3.0,1,4
68,5study6_2023-08-14_17h32.13.327.csv,0.16666666666666666,0.5,0.5,0.0,3.0949,0.6859,5,6.0,0,4
69,5study6_2023-08-14_17h32.13.327.csv,0.16666666666666666,0.5,0.5,0.0,0.7708,0.6859,8,1.0,0,4
70,644e757b60476ac7d5a7717a_study6_2023-08-14_11h43.28.021.csv,0.0,0.5,0.5,0.0,3.2439,0.95095,1,2.0,0,4
71,644e757b60476ac7d5a7717a_study6_2023-08-14_11h43.28.021.csv,0.0,0.5,0.5,0.0,0.6577,0.95095,4,4.0,0,4
72,644e757b60476ac7d5a7717a_study6_2023-08-14_11h43.28.021.csv,0.0,0.5,0.5,0.0,1.7069,0.95095,6,7.0,0,4
73,644e757b60476ac7d5a7717a_study6_2023-08-14_11h43.28.021.csv,0.0,0.5,0.5,0.0,2.058,0.95095,8,0.0,0,4
74,5study6_2023-08-17_19h08.56.829.csv,0.3333333333333333,0.75,0.25,0.0,2.407,0.847,1,2.0,0,4
75,5study6_2023-08-17_19h08.56.829.csv,0.3333333333333333,0.75,0.25,0.0,1.888,0.847,2,0.0,1,4
76,5study6_2023-08-17_19h08.56.829.csv,0.3333333333333333,0.75,0.25,0.0,1.458,0.847,6,7.0,0,4
77,5study6_2023-08-17_19h08.56.829.csv,0.3333333333333333,0.75,0.25,0.0,1.229,0.847,8,4.0,1,4
78,56ce42d9465e580006846f57_study6_2023-08-14_15h13.17.694.csv,0.6666666666666666,0.5,0.5,0.0,3.1203,0.7201,1,0.0,1,4
79,56ce42d9465e580006846f57_study6_2023-08-14_15h13.17.694.csv,0.6666666666666666,0.5,0.5,0.0,2.4843,0.7201,3,7.0,1,4
80,56ce42d9465e580006846f57_study6_2023-08-14_15h13.17.694.csv,0.6666666666666666,0.5,0.5,0.0,0.9902,0.7201,6,3.0,1,4
81,56ce42d9465e580006846f57_study6_2023-08-14_15h13.17.694.csv,0.6666666666666666,0.5,0.5,0.0,0.7364,0.7201,7,5.0,1,4
82,5Bee_study6_2023-08-14_12h49.38.721.csv,0.5,0.5,0.5,0.0,1.2341,0.73,2,4.0,1,4
83,5Bee_study6_2023-08-14_12h49.38.721.csv,0.5,0.5,0.5,0.0,0.7023,0.73,4,3.0,1,4
84,5Bee_study6_2023-08-14_12h49.38.721.csv,0.5,0.5,0.5,0.0,0.6501,0.73,5,5.0,1,4
85,5Bee_study6_2023-08-14_12h49.38.721.csv,0.5,0.5,0.5,0.0,1.151,0.73,7,1.0,0,4
86,5c3b70640eaa0100018ea877_study6_2023-08-17_20h08.23.247.csv,0.6666666666666666,0.25,0.25,0.0,0.631,1.223,3,5.0,1,4
87,5c3b70640eaa0100018ea877_study6_2023-08-17_20h08.23.247.csv,0.6666666666666666,0.25,0.25,0.0,1.624,1.223,4,6.0,1,4
88,5c3b70640eaa0100018ea877_study6_2023-08-17_20h08.23.247.csv,0.6666666666666666,0.25,0.25,0.0,0.913,1.223,6,0.0,1,4
89,5c3b70640eaa0100018ea877_study6_2023-08-17_20h08.23.247.csv,0.6666666666666666,0.25,0.25,0.0,1.371,1.223,7,3.0,1,4
90,5study6_2023-08-14_15h13.08.651.csv,0.16666666666666666,0.25,0.25,0.0,2.0288,0.8466,2,6.0,0,4
91,5study6_2023-08-14_15h13.08.651.csv,0.16666666666666666,0.25,0.25,0.0,0.2846,0.8466,4,0.0,0,4
