Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64da59339143de68199886e0,62f3b543dce069211e8e982c,APPROVED,,2023-08-14T16:41:23.714000Z,2023-08-14T17:44:06.268000Z,2023-09-04T00:00:20.475000Z,2023-08-14T17:44:06.722042Z,3763.0,C1EI1MLP,756,English,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64da5962d28cd31caa2655a6,5f842c44c01dbb03bb69c57b,RETURNED,Not Applicable,2023-08-14T16:52:10.104000Z,,,2024-05-02T12:13:08.293559Z,,,587,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64da597abcf573f0b501eb63,644e757b60476ac7d5a7717a,APPROVED,,2023-08-14T16:42:51.408000Z,2023-08-14T17:53:08.151000Z,2023-09-04T00:00:20.657000Z,2023-08-14T17:53:08.981854Z,4217.0,C1EI1MLP,755,English,59,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64da5e983f6a5784a6b5ea03,55da1c4669dbc30010b67569,APPROVED,,2023-08-14T17:04:33.228000Z,2023-08-14T18:12:38.488000Z,2023-09-04T00:00:20.815000Z,2023-08-14T18:12:39.130860Z,4086.0,C1EI1MLP,2668,"English, French",33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
64da5e9d65857b6a64e7fefb,5f3e6a07e06e71069f919082,APPROVED,,2023-08-14T17:04:34.003000Z,2023-08-14T18:37:07.291000Z,2023-09-04T00:00:21.019000Z,2023-08-14T18:37:08.289071Z,5554.0,C1EI1MLP,1888,English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64da5f97f765f2e106f7430f,614e2446523bb49af662fb62,APPROVED,,2023-08-14T17:08:43.584000Z,2023-08-14T18:08:30.909000Z,2023-09-04T00:00:21.161000Z,2023-08-14T18:08:31.766608Z,3588.0,C1EI1MLP,2387,English,30,Male,White,United States,United States,United States,English,No,Full-Time
64da6073478e2c71ddbc2824,5cd89ac3575359001dc46b76,RETURNED,Not Applicable,2023-08-14T17:12:38.954000Z,,,2024-05-02T12:13:08.303274Z,,,2926,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64da6335a4410cf0ce39ea60,5994c52989d01e0001aea32f,APPROVED,,2023-08-14T17:24:33.109000Z,2023-08-14T18:30:22.888000Z,2023-09-04T00:00:21.335000Z,2023-08-14T18:30:23.359138Z,3950.0,C1EI1MLP,1187,English,47,Male,White,Ireland,United Kingdom,Ireland,English,No,Full-Time
64da7351533d231dad9886e4,61237068bc84f5037bd32443,APPROVED,,2023-08-14T18:32:53.933000Z,2023-08-14T19:29:50.834000Z,2023-09-04T00:00:21.501000Z,2023-08-14T19:29:51.663798Z,3417.0,C1EI1MLP,345,English,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64da78e2f3ca3906192a640e,55b2d3f2fdf99b525bc839aa,APPROVED,,2023-08-14T18:56:37.679000Z,2023-08-14T20:47:37.057000Z,2023-09-04T00:00:21.692000Z,2023-08-14T20:47:37.576468Z,6660.0,C1EI1MLP,2758,"English, Spanish",36,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,Full-Time
64da7da7dc3a03ad3a2a730e,5b2bcfb51835660001cc6751,APPROVED,,2023-08-14T19:16:55.303000Z,2023-08-14T20:46:40.307000Z,2023-09-04T00:00:21.886000Z,2023-08-14T20:46:40.758773Z,5386.0,C1EI1MLP,952,English,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
