"X","sub","pr_raw","bias_highbaserate","pre_map_change","post_map_change","rt_planning_pr","median_RT_actionselection","trial_num","planning_q","PR_individual_answers","experiment","log_rt_planning","PR"
97,"5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv",0.5,-2.441435368,1,0.25,1.093,0.3428,2.103834391,1,0,1,1.159534301,-0.353938839889073
98,"5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv",0.5,-2.441435368,1,0.25,0.9371,0.3428,3.103834391,1,1,1,1.005642813,-0.353938839889073
99,"5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv",0.5,-2.441435368,1,0.25,1.6885,0.3428,5.103834391,1,1,1,1.594448653,-0.353938839889073
100,"5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv",0.5,-2.441435368,1,0.25,1.3533,0.3428,7.103834391,1,1,1,1.373154146,-0.353938839889073
101,"5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv",0.5,-2.441435368,1,0.25,0.7224,0.3428,8.103834391,1,0,1,0.745431815,-0.353938839889073
102,"5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv",0.833333333,-2.191435368,0.75,0.75,4.4296,0.29985,-0.896165609,1,0,1,2.692782216,0.889535030005716
103,"5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv",0.833333333,-2.191435368,0.75,0.75,3.0632,0.29985,0.103834391,1,1,1,2.323933051,0.889535030005716
104,"5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv",0.833333333,-2.191435368,0.75,0.75,0.6002,0.29985,1.103834391,1,1,1,0.693980583,0.889535030005716
105,"5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv",0.833333333,-2.191435368,0.75,0.75,0.6151,0.29985,4.103834391,1,1,1,0.718502507,0.889535030005716
106,"5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv",0.833333333,-2.191435368,0.75,0.75,0.2814,0.29985,5.103834391,1,1,1,-0.063505205,0.889535030005716
107,"5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv",0.833333333,-2.191435368,0.75,0.75,0.3773,0.29985,6.103834391,1,1,1,0.229758277,0.889535030005716
108,"601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv",0.833333333,-2.441435368,1,0.25,0.9094,0.45285,0.103834391,1,0,1,0.697224097,0.889535030005716
109,"601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv",0.833333333,-2.441435368,1,0.25,0.12,0.45285,2.103834391,1,1,1,-1.328069202,0.889535030005716
110,"601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv",0.833333333,-2.441435368,1,0.25,0.7945,0.45285,3.103834391,1,1,1,0.562152041,0.889535030005716
111,"601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv",0.833333333,-2.441435368,1,0.25,0.6854,0.45285,5.103834391,1,1,1,0.414441665,0.889535030005716
112,"601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv",0.833333333,-2.441435368,1,0.25,0.3354,0.45285,7.103834391,1,1,1,-0.300237095,0.889535030005716
113,"601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv",0.833333333,-2.441435368,1,0.25,0.4861,0.45285,8.103834391,1,1,1,0.070853419,0.889535030005716
114,"5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv",0.666666667,-2.691435368,0.75,0.75,1.6833,0.23345,-0.896165609,1,0,1,1.97554351,0.267798096923532
115,"5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv",0.666666667,-2.691435368,0.75,0.75,1.1505,0.23345,0.103834391,1,1,1,1.594983988,0.267798096923532
116,"5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv",0.666666667,-2.691435368,0.75,0.75,0.7878,0.23345,3.103834391,1,1,1,1.216276329,0.267798096923532
117,"5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv",0.666666667,-2.691435368,0.75,0.75,0.9895,0.23345,4.103834391,1,0,1,1.444231844,0.267798096923532
118,"5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv",0.666666667,-2.691435368,0.75,0.75,1.3989,0.23345,6.103834391,1,1,1,1.790473571,0.267798096923532
119,"5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv",0.666666667,-2.691435368,0.75,0.75,0.8009,0.23345,8.103834391,1,1,1,1.232768174,0.267798096923532
120,"5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv",0.5,-2.441435368,1,0.75,0.9004,0.7324,0.103834391,1,1,1,0.206512296,-0.353938839889073
121,"5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv",0.5,-2.441435368,1,0.75,0.8433,0.7324,1.103834391,1,0,1,0.140995954,-0.353938839889073
122,"5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv",0.5,-2.441435368,1,0.75,0.4981,0.7324,3.103834391,1,0,1,-0.385525953,-0.353938839889073
123,"5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv",0.5,-2.441435368,1,0.75,0.5832,0.7324,4.103834391,1,1,1,-0.227796632,-0.353938839889073
124,"5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv",0.5,-2.441435368,1,0.75,2.7632,0.7324,5.103834391,1,0,1,1.327817895,-0.353938839889073
125,"5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv",0.5,-2.441435368,1,0.75,0.7497,0.7324,8.103834391,1,1,1,0.023346314,-0.353938839889073
126,"5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv",1,-2.441435368,1,0,8.8238,0.7375,-0.896165609,1,1,1,2.481941807,1.51127196681832
127,"5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv",1,-2.441435368,1,0,2.4284,0.7375,0.103834391,1,1,1,1.191721795,1.51127196681832
128,"5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv",1,-2.441435368,1,0,4.9731,0.7375,3.103834391,1,1,1,1.908532579,1.51127196681832
129,"5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv",1,-2.441435368,1,0,1.8297,0.7375,4.103834391,1,1,1,0.90864121,1.51127196681832
130,"5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv",1,-2.441435368,1,0,7.4694,0.7375,5.103834391,1,1,1,2.315303865,1.51127196681832
131,"5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv",1,-2.441435368,1,0,1.654,0.7375,8.103834391,1,1,1,0.807685787,1.51127196681832
132,"5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv",0.666666667,-2.691435368,0.25,0.5,3.6586,0.8605,-0.896165609,1,0,1,1.447322224,0.267798096923532
133,"5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv",0.666666667,-2.691435368,0.25,0.5,4.008,0.8605,0.103834391,1,1,1,1.538534027,0.267798096923532
134,"5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv",0.666666667,-2.691435368,0.25,0.5,2.1819,0.8605,1.103834391,1,1,1,0.93043772,0.267798096923532
135,"5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv",0.666666667,-2.691435368,0.25,0.5,1.4295,0.8605,3.103834391,1,0,1,0.507566396,0.267798096923532
136,"5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv",0.666666667,-2.691435368,0.25,0.5,0.702,0.8605,5.103834391,1,1,1,-0.203580212,0.267798096923532
137,"5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv",0.666666667,-2.691435368,0.25,0.5,0.8316,0.8605,7.103834391,1,1,1,-0.03416206,0.267798096923532
138,"5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv",0.666666667,-2.191435368,0.75,0.25,1.1667,0.9836,-0.896165609,1,1,1,0.170715219,0.267798096923532
139,"5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv",0.666666667,-2.191435368,0.75,0.25,1.3692,0.9836,1.103834391,1,1,1,0.330762596,0.267798096923532
140,"5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv",0.666666667,-2.191435368,0.75,0.25,1.802,0.9836,2.103834391,1,0,1,0.605433128,0.267798096923532
