,sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment,log_rt_planning,PR
46,5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,-2.191435367804411,0.75,0.0,1.5014,0.53345,6.103834390537307,1,1,1,1.0347879395014319,-1.3888101475157262
47,5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.833333333,-2.191435367804411,0.75,0.0,1.4164,0.53345,7.103834390537307,1,1,1,0.9765083746002785,-1.3888101475157262
48,5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1.0,-2.191435367804411,0.75,0.75,9.8656,1.0342,-0.8961656094626929,1,1,1,2.25542577772971,-1.2221434805157263
49,5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1.0,-2.191435367804411,0.75,0.75,5.7748,1.0342,0.10383439053730714,1,1,1,1.7198754427935383,-1.2221434805157263
50,5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1.0,-2.191435367804411,0.75,0.75,1.7268,1.0342,3.1038343905373074,1,1,1,0.5126418037192013,-1.2221434805157263
51,5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1.0,-2.191435367804411,0.75,0.75,4.9342,1.0342,5.103834390537307,1,1,1,1.5625623713684869,-1.2221434805157263
52,5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1.0,-2.191435367804411,0.75,0.75,0.534,1.0342,7.103834390537307,1,1,1,-0.6609876210019261,-1.2221434805157263
53,5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1.0,-2.191435367804411,0.75,0.75,0.5222,1.0342,8.103834390537306,1,1,1,-0.6833328036970927,-1.2221434805157263
54,61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.333333333,-2.441435367804411,1.0,1.0,1.8039,0.4367,2.1038343905373074,1,0,1,1.4184598062221174,-1.8888101475157262
55,61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.333333333,-2.441435367804411,1.0,1.0,1.6153,0.4367,3.1038343905373074,1,1,1,1.308029516428197,-1.8888101475157262
56,61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.333333333,-2.441435367804411,1.0,1.0,5.2884,0.4367,4.103834390537307,1,1,1,2.4940245611444265,-1.8888101475157262
57,61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.333333333,-2.441435367804411,1.0,1.0,1.5475,0.4367,5.103834390537307,1,0,1,1.265149544067236,-1.8888101475157262
58,61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.333333333,-2.441435367804411,1.0,1.0,4.4486,0.4367,6.103834390537307,1,0,1,2.3210982584281146,-1.8888101475157262
59,61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.333333333,-2.441435367804411,1.0,1.0,2.0495,0.4367,8.103834390537306,1,0,1,1.546104679452877,-1.8888101475157262
60,58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,-2.441435367804411,1.0,1.0,0.8008,0.30415,0.10383439053730714,1,0,1,0.9680902272342966,-1.7221434805157263
61,58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,-2.441435367804411,1.0,1.0,0.7179,0.30415,1.1038343905373071,1,1,1,0.858809282815723,-1.7221434805157263
62,58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,-2.441435367804411,1.0,1.0,0.701,0.30415,4.103834390537307,1,0,1,0.8349868862678758,-1.7221434805157263
63,58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,-2.441435367804411,1.0,1.0,0.6319,0.30415,5.103834390537307,1,0,1,0.7312101530126953,-1.7221434805157263
64,58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,-2.441435367804411,1.0,1.0,0.7179,0.30415,6.103834390537307,1,1,1,0.858809282815723,-1.7221434805157263
65,58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,-2.441435367804411,1.0,1.0,0.4841,0.30415,8.103834390537306,1,1,1,0.46477049617893434,-1.7221434805157263
