,sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment,log_rt_planning
66,614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,0.5,1.0,1.0,3.0031,1.4856,-0.8949903146103193,1,1,1,0.7038263574237004
67,614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,0.5,1.0,1.0,0.5188,1.4856,0.1050096853896807,1,0,1,-1.0520555575962072
68,614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,0.5,1.0,1.0,2.0356,1.4856,1.1050096853896807,1,1,1,0.31497188467618165
69,614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,0.5,1.0,1.0,0.7837,1.4856,3.105009685389681,1,1,1,-0.6395477159796772
70,614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,0.5,1.0,1.0,0.6675,1.4856,6.105009685389681,1,0,1,-0.8000346197640914
71,614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,0.5,1.0,1.0,0.6194,1.4856,7.105009685389681,1,1,1,-0.8748227424993937
72,5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,0.75,0.75,0.75,1.5181,0.959,0.1050096853896807,1,1,1,0.45932375705523126
73,5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,0.75,0.75,0.75,1.173,0.959,2.105009685389681,1,1,1,0.20142877377003737
74,5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,0.75,0.75,0.75,1.3785,0.959,3.105009685389681,1,1,1,0.3628601555804133
75,5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,0.75,0.75,0.75,1.2343,0.959,4.105009685389681,1,1,1,0.2523682118664448
76,5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,0.75,0.75,0.75,1.1008,0.959,5.105009685389681,1,0,1,0.13790139229564102
77,5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,0.75,0.75,0.75,1.1284,0.959,6.105009685389681,1,1,1,0.16266490424440314
78,5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,0.5,1.0,0.25,0.8852,0.2271,-0.8949903146103193,1,0,1,1.3604231590653817
79,5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,0.5,1.0,0.25,1.0436,0.2271,0.1050096853896807,1,0,1,1.5250411041510608
80,5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,0.5,1.0,0.25,0.6691,0.2271,2.105009685389681,1,0,1,1.0805430766772586
81,5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,0.5,1.0,0.25,0.6752,0.2271,3.105009685389681,1,0,1,1.0896184941702347
82,5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,0.5,1.0,0.25,0.8295,0.2271,4.105009685389681,1,1,1,1.2954326605189863
83,5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,0.5,1.0,0.25,0.6434,0.2271,7.105009685389681,1,1,1,1.0413761656934133
84,5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1.0,0.75,1.6182,0.37275,-0.8949903146103193,1,1,1,1.4681617457288916
85,5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1.0,0.75,3.934,0.37275,0.1050096853896807,1,0,1,2.3565040453041566
86,5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1.0,0.75,0.6908,0.37275,3.105009685389681,1,0,1,0.6169423926276757
87,5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1.0,0.75,0.4359,0.37275,5.105009685389681,1,0,1,0.15650490559949906
88,5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1.0,0.75,0.4584,0.37275,6.105009685389681,1,1,1,0.20683421175568192
89,5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1.0,0.75,0.4197,0.37275,7.105009685389681,1,1,1,0.11863221669469735
90,5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,0.5,1.0,0.75,0.5734,0.3132,0.1050096853896807,1,1,1,0.6047415893326216
91,5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,0.5,1.0,0.75,2.1381,0.3132,1.1050096853896807,1,1,1,1.9208308990592868
92,5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,0.5,1.0,0.75,0.4953,0.3132,2.105009685389681,1,1,1,0.45832167547754404
93,5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,0.5,1.0,0.75,1.3213,0.3132,3.105009685389681,1,1,1,1.4395294153035232
94,5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,0.5,1.0,0.75,0.5336,0.3132,6.105009685389681,1,0,1,0.532804530484766
95,5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,0.5,1.0,0.75,1.9716,0.3132,8.10500968538968,1,1,1,1.8397587107145748
96,5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1.0,0.25,0.8217,0.3428,0.1050096853896807,1,0,1,0.8742281782135175
97,5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1.0,0.25,1.093,0.3428,2.105009685389681,1,0,1,1.1595343014529138
98,5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1.0,0.25,0.9371,0.3428,3.105009685389681,1,1,1,1.0056428134061532
99,5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1.0,0.25,1.6885,0.3428,5.105009685389681,1,1,1,1.5944486531019977
100,5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1.0,0.25,1.3533,0.3428,7.105009685389681,1,1,1,1.3731541463588353
101,5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1.0,0.25,0.7224,0.3428,8.10500968538968,1,0,1,0.7454318153791512
102,5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,0.75,0.75,0.75,4.4296,0.29985,-0.8949903146103193,1,0,1,2.6927822158942387
103,5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,0.75,0.75,0.75,3.0632,0.29985,0.1050096853896807,1,1,1,2.323933050548566
104,5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,0.75,0.75,0.75,0.6002,0.29985,1.1050096853896807,1,1,1,0.6939805833917478
105,5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,0.75,0.75,0.75,0.6151,0.29985,4.105009685389681,1,1,1,0.7185025065998037
106,5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,0.75,0.75,0.75,0.2814,0.29985,5.105009685389681,1,1,1,-0.06350520493423016
107,5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.833333333,0.75,0.75,0.75,0.3773,0.29985,6.105009685389681,1,1,1,0.22975827735574614
108,601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,0.5,1.0,0.25,0.9094,0.45285,0.1050096853896807,1,0,1,0.6972240965699527
109,601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,0.5,1.0,0.25,0.12,0.45285,2.105009685389681,1,1,1,-1.3280692020389115
110,601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,0.5,1.0,0.25,0.7945,0.45285,3.105009685389681,1,1,1,0.5621520411558132
111,601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,0.5,1.0,0.25,0.6854,0.45285,5.105009685389681,1,1,1,0.41444166461955106
112,601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,0.5,1.0,0.25,0.3354,0.45285,7.105009685389681,1,1,1,-0.300237095431849
113,601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.833333333,0.5,1.0,0.25,0.4861,0.45285,8.10500968538968,1,1,1,0.07085341923045234
114,5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,0.25,0.75,0.75,1.6833,0.23345,-0.8949903146103193,1,0,1,1.97554351000809
115,5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,0.25,0.75,0.75,1.1505,0.23345,0.1050096853896807,1,1,1,1.5949839880584746
116,5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,0.25,0.75,0.75,0.7878,0.23345,3.105009685389681,1,1,1,1.2162763291198595
117,5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,0.25,0.75,0.75,0.9895,0.23345,4.105009685389681,1,0,1,1.4442318436256745
118,5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,0.25,0.75,0.75,1.3989,0.23345,6.105009685389681,1,1,1,1.790473571065439
119,5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.666666667,0.25,0.75,0.75,0.8009,0.23345,8.10500968538968,1,1,1,1.2327681739126906
120,5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1.0,0.75,0.9004,0.7324,0.1050096853896807,1,1,1,0.20651229623222148
121,5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1.0,0.75,0.8433,0.7324,1.1050096853896807,1,0,1,0.1409959537802403
122,5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1.0,0.75,0.4981,0.7324,3.105009685389681,1,0,1,-0.385525952721118
123,5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1.0,0.75,0.5832,0.7324,4.105009685389681,1,1,1,-0.22779663210590728
124,5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1.0,0.75,2.7632,0.7324,5.105009685389681,1,0,1,1.3278178945920585
125,5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1.0,0.75,0.7497,0.7324,8.10500968538968,1,1,1,0.023346313708660686
126,5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1.0,0.5,1.0,0.0,8.8238,0.7375,-0.8949903146103193,1,1,1,2.481941807004656
127,5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1.0,0.5,1.0,0.0,2.4284,0.7375,0.1050096853896807,1,1,1,1.191721795042304
128,5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1.0,0.5,1.0,0.0,4.9731,0.7375,3.105009685389681,1,1,1,1.908532578884955
129,5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1.0,0.5,1.0,0.0,1.8297,0.7375,4.105009685389681,1,1,1,0.9086412097565454
130,5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1.0,0.5,1.0,0.0,7.4694,0.7375,5.105009685389681,1,1,1,2.3153038654018205
131,5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1.0,0.5,1.0,0.0,1.654,0.7375,8.10500968538968,1,1,1,0.8076857873696616
132,5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.666666667,0.25,0.25,0.5,3.6586,0.8605,-0.8949903146103193,1,0,1,1.4473222239056036
133,5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.666666667,0.25,0.25,0.5,4.008,0.8605,0.1050096853896807,1,1,1,1.5385340271131065
134,5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.666666667,0.25,0.25,0.5,2.1819,0.8605,1.1050096853896807,1,1,1,0.9304377201770105
135,5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.666666667,0.25,0.25,0.5,1.4295,0.8605,3.105009685389681,1,0,1,0.5075663961107723
136,5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.666666667,0.25,0.25,0.5,0.702,0.8605,5.105009685389681,1,1,1,-0.20358021162578313
137,5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.666666667,0.25,0.25,0.5,0.8316,0.8605,7.105009685389681,1,1,1,-0.03416205966773631
138,5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.666666667,0.75,0.75,0.25,1.1667,0.9836,-0.8949903146103193,1,1,1,0.17071521948777385
139,5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.666666667,0.75,0.75,0.25,1.3692,0.9836,1.1050096853896807,1,1,1,0.3307625963139927
140,5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.666666667,0.75,0.75,0.25,1.802,0.9836,2.105009685389681,1,0,1,0.6054331278262457
141,5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.666666667,0.75,0.75,0.25,0.7082,0.9836,3.105009685389681,1,1,1,-0.32849277066423405
142,5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.666666667,0.75,0.75,0.25,0.588,0.9836,6.105009685389681,1,1,1,-0.5144923624434107
143,5f1bf7bb9f48184274051108_study2_2022-11-23_09h51.40.832.csv,0.666666667,0.75,0.75,0.25,1.1348,0.9836,7.105009685389681,1,0,1,0.14299239259265886
144,60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,1.1589,0.852,-0.8949903146103193,1,0,1,0.3076400315110297
145,60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,0.8678,0.852,0.1050096853896807,1,1,1,0.018374746534934608
146,60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,0.6747,0.852,1.1050096853896807,1,1,1,-0.23331837919593604
147,60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,0.5844,0.852,2.105009685389681,1,1,1,-0.3770008469527712
148,60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,0.8685,0.852,3.105009685389681,1,0,1,0.01918105885184403
149,60b8db5feb283b86cce8de9f_study2_2022-11-23_11h56.57.014.csv,0.5,0.75,0.75,0.25,1.0836,0.852,7.105009685389681,1,0,1,0.2404575833816242
150,5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.333333333,0.75,0.25,0.5,3.4157,0.99385,-0.8949903146103193,1,1,1,1.234551439201222
151,5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.333333333,0.75,0.25,0.5,1.5589,0.99385,0.1050096853896807,1,0,1,0.45014943348202713
152,5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.333333333,0.75,0.25,0.5,0.6898,0.99385,1.1050096853896807,1,0,1,-0.36518458933386755
153,5e1b2b3e4a955b350b1e0a63_study2_2022-11-23_09h52.24.834.csv,0.333333333,0.75,0.25,0.5,0.6836,0.99385,5.105009685389681,1,1,1,-0.3742133385951722
