sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers
644570d57bfa2bc1597e4982_study5_pr_2_2023-06-22_14h57.50.300.csv,0.0,0.0,0.0,0.0,2.8565,0.54345,3,5.0,0
644570d57bfa2bc1597e4982_study5_pr_2_2023-06-22_14h57.50.300.csv,0.0,0.0,0.0,0.0,1.0693,0.54345,4,7.0,0
5d50692435e3af0001f05a15_study5_pr_2_2023-06-22_15h35.19.151.csv,0.3333333333333333,0.5,1.0,0.25,3.7069,0.3671,1,5.0,1
5d50692435e3af0001f05a15_study5_pr_2_2023-06-22_15h35.19.151.csv,0.3333333333333333,0.5,1.0,0.25,1.176,0.3671,2,4.0,0
5d50692435e3af0001f05a15_study5_pr_2_2023-06-22_15h35.19.151.csv,0.3333333333333333,0.5,1.0,0.25,3.3697,0.3671,3,1.0,1
5d50692435e3af0001f05a15_study5_pr_2_2023-06-22_15h35.19.151.csv,0.3333333333333333,0.5,1.0,0.25,0.7393,0.3671,4,3.0,0
6165d04961f94aba783d4529_study5_pr_2_2023-06-22_15h47.52.110.csv,0.3333333333333333,0.25,0.75,0.25,1.1002,0.3872,1,5.0,0
6165d04961f94aba783d4529_study5_pr_2_2023-06-22_15h47.52.110.csv,0.3333333333333333,0.25,0.75,0.25,0.7335,0.3872,2,3.0,1
6165d04961f94aba783d4529_study5_pr_2_2023-06-22_15h47.52.110.csv,0.3333333333333333,0.25,0.75,0.25,1.2831,0.3872,3,0.0,0
6165d04961f94aba783d4529_study5_pr_2_2023-06-22_15h47.52.110.csv,0.3333333333333333,0.25,0.75,0.25,0.1845,0.3872,4,2.0,1
5e13814a1e2e589ca3a4aec2_study5_pr_2_2023-06-22_16h29.00.656.csv,0.16666666666666666,0.75,0.75,1.0,6.0345,0.3176,1,0.0,1
5e13814a1e2e589ca3a4aec2_study5_pr_2_2023-06-22_16h29.00.656.csv,0.16666666666666666,0.75,0.75,1.0,0.3674,0.3176,2,2.0,0
5e13814a1e2e589ca3a4aec2_study5_pr_2_2023-06-22_16h29.00.656.csv,0.16666666666666666,0.75,0.75,1.0,0.6506,0.3176,3,3.0,0
5e13814a1e2e589ca3a4aec2_study5_pr_2_2023-06-22_16h29.00.656.csv,0.16666666666666666,0.75,0.75,1.0,0.384,0.3176,4,6.0,0
5e7fa0e918b10804bb87eb63_study5_pr_2_2023-06-22_19h28.25.859.csv,0.3333333333333333,0.5,1.0,1.0,3.7383,0.6011,1,1.0,1
5e7fa0e918b10804bb87eb63_study5_pr_2_2023-06-22_19h28.25.859.csv,0.3333333333333333,0.5,1.0,1.0,1.1202,0.6011,2,3.0,0
5e7fa0e918b10804bb87eb63_study5_pr_2_2023-06-22_19h28.25.859.csv,0.3333333333333333,0.5,1.0,1.0,0.4572,0.6011,3,6.0,1
5e7fa0e918b10804bb87eb63_study5_pr_2_2023-06-22_19h28.25.859.csv,0.3333333333333333,0.5,1.0,1.0,0.5528,0.6011,4,4.0,0
5ef08aa7177a735c78ffbf40_study5_pr_2_2023-06-22_15h41.45.288.csv,0.3333333333333333,0.25,0.5,0.25,1.2342,0.5847,1,6.0,1
5ef08aa7177a735c78ffbf40_study5_pr_2_2023-06-22_15h41.45.288.csv,0.3333333333333333,0.25,0.5,0.25,6.7002,0.5847,2,4.0,1
5ef08aa7177a735c78ffbf40_study5_pr_2_2023-06-22_15h41.45.288.csv,0.3333333333333333,0.25,0.5,0.25,1.0504,0.5847,3,2.0,0
5ef08aa7177a735c78ffbf40_study5_pr_2_2023-06-22_15h41.45.288.csv,0.3333333333333333,0.25,0.5,0.25,0.2853,0.5847,4,0.0,0
61141c855eb58d6a4e3d8d5b_study5_pr_2_2023-06-22_16h12.37.290.csv,0.3333333333333333,0.5,1.0,0.75,5.722,0.6174999999999999,1,1.0,0
61141c855eb58d6a4e3d8d5b_study5_pr_2_2023-06-22_16h12.37.290.csv,0.3333333333333333,0.5,1.0,0.75,0.052,0.6174999999999999,2,5.0,1
61141c855eb58d6a4e3d8d5b_study5_pr_2_2023-06-22_16h12.37.290.csv,0.3333333333333333,0.5,1.0,0.75,0.085,0.6174999999999999,3,7.0,1
61141c855eb58d6a4e3d8d5b_study5_pr_2_2023-06-22_16h12.37.290.csv,0.3333333333333333,0.5,1.0,0.75,0.054,0.6174999999999999,4,6.0,0
5fac2995bbe58415e0ac6a1e_study5_pr_2_2023-06-22_15h51.02.726.csv,0.3333333333333333,0.75,0.75,1.0,0.9497,0.2218,1,0.0,1
5fac2995bbe58415e0ac6a1e_study5_pr_2_2023-06-22_15h51.02.726.csv,0.3333333333333333,0.75,0.75,1.0,0.9703,0.2218,2,1.0,0
5fac2995bbe58415e0ac6a1e_study5_pr_2_2023-06-22_15h51.02.726.csv,0.3333333333333333,0.75,0.75,1.0,0.6387,0.2218,3,4.0,0
5fac2995bbe58415e0ac6a1e_study5_pr_2_2023-06-22_15h51.02.726.csv,0.3333333333333333,0.75,0.75,1.0,0.1535,0.2218,4,2.0,1
