,sub,SR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers
109,57de9b670cb6700001dd7c9f_study3_2022-12-08_09h58.50.902.csv,0.16666666666666666,0.5,1.0,0.0,1.8501,1.4362,2,3.0,1
110,57de9b670cb6700001dd7c9f_study3_2022-12-08_09h58.50.902.csv,0.16666666666666666,0.5,1.0,0.0,1.2026,1.4362,3,2.0,1
111,57de9b670cb6700001dd7c9f_study3_2022-12-08_09h58.50.902.csv,0.16666666666666666,0.5,1.0,0.0,1.1805,1.4362,4,8.0,0
112,57de9b670cb6700001dd7c9f_study3_2022-12-08_09h58.50.902.csv,0.16666666666666666,0.5,1.0,0.0,1.3447,1.4362,5,0.0,1
113,57de9b670cb6700001dd7c9f_study3_2022-12-08_09h58.50.902.csv,0.16666666666666666,0.5,1.0,0.0,1.1766,1.4362,6,5.0,1
114,636a740f2956031d8abf5bf1_study3_2022-12-08_14h48.13.866.csv,0.8333333333333334,0.5,1.0,0.75,3.2338,0.83395,1,7.0,1
115,636a740f2956031d8abf5bf1_study3_2022-12-08_14h48.13.866.csv,0.8333333333333334,0.5,1.0,0.75,1.0347,0.83395,2,3.0,0
116,636a740f2956031d8abf5bf1_study3_2022-12-08_14h48.13.866.csv,0.8333333333333334,0.5,1.0,0.75,0.2511,0.83395,3,4.0,0
117,636a740f2956031d8abf5bf1_study3_2022-12-08_14h48.13.866.csv,0.8333333333333334,0.5,1.0,0.75,0.9507,0.83395,4,5.0,0
118,636a740f2956031d8abf5bf1_study3_2022-12-08_14h48.13.866.csv,0.8333333333333334,0.5,1.0,0.75,0.8507,0.83395,5,8.0,0
119,636a740f2956031d8abf5bf1_study3_2022-12-08_14h48.13.866.csv,0.8333333333333334,0.5,1.0,0.75,1.1016,0.83395,6,2.0,0
120,63174a95078b149cd17f7873_study3_2022-12-08_13h11.28.827.csv,0.6666666666666666,0.5,0.5,0.25,1.5625,0.9867,1,4.0,1
