Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
63066f570b3249cb3318b560,5e93138a7d69590115fa1e21,APPROVED,2022-08-24T18:35:03.629000Z,2022-08-24T20:20:33.083000Z,2022-09-02T13:27:37.433000Z,2022-08-24T20:20:33.443787Z,6330.0,763C1391,1161,4.0,100.0,English,66,Male,White,Germany,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
63066f72207a7b403437070b,5685850c333cbd000d4e042f,APPROVED,2022-08-24T18:35:43.460000Z,2022-08-24T19:59:32.983000Z,2022-09-02T13:27:37.522000Z,2022-08-24T19:59:33.312172Z,5030.0,763C1391,2945,1.0,100.0,English,28,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),
6306719888f4f64b53d98cca,5ea6e7dff5d217088a20deb0,APPROVED,2022-08-24T18:54:29.901000Z,2022-08-24T22:00:50.306000Z,2022-09-02T13:27:37.616000Z,2022-08-24T22:00:50.677038Z,11181.0,763C1391,357,5.0,99.0,"Czech, English",38,Male,White,Czech Republic,Czech Republic,Czech Republic,Czech,No,Part-Time,
630671e93295ff4a6bdbf462,601129f77e0c21000b0c408a,APPROVED,2022-08-24T18:46:01.410000Z,2022-08-24T21:43:56.832000Z,2022-09-02T13:27:37.711000Z,2022-08-24T21:43:57.142330Z,10676.0,NOCODE,477,0.0,100.0,"Afrikaans, English",23,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,
6306724f2e87c13c9a6b2624,5dd58b43149f5354a6124a41,APPROVED,2022-08-24T18:47:43.725000Z,2022-08-24T20:26:37.389000Z,2022-09-02T13:27:37.803000Z,2022-08-24T20:26:37.822975Z,5934.0,763C1391,398,2.0,100.0,"Portuguese, French, Spanish, English",25,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,
63067534419b38ab08a13f8b,5bdf91dbb32fa800012ea282,APPROVED,2022-08-24T19:00:11.978000Z,2022-08-24T21:52:22.949000Z,2022-09-02T13:27:37.908000Z,2022-08-24T21:52:23.301820Z,10331.0,763C1391,823,1.0,100.0,"Spanish, English",47,Male,White,Mexico,Mexico,Mexico,Spanish,No,Full-Time,
6306757635ab23532ad98cae,5f9aba6600cdf11f1c9b915c,APPROVED,2022-08-24T19:01:10.973000Z,2022-08-24T20:23:46.150000Z,2022-09-02T13:27:38.006000Z,2022-08-24T20:23:46.607066Z,4956.0,NOCODE,746,4.0,100.0,"English, German, Polish, Portuguese, Russian",27,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,Full-Time,
630675e04540b5529441c3a5,5e8b9e5e08c9f207f612ac74,APPROVED,2022-08-24T19:03:04.227000Z,2022-08-24T20:31:41.577000Z,2022-09-02T13:27:38.095000Z,2022-08-24T20:31:41.963116Z,5318.0,763C1391,205,1.0,100.0,"Italian, English",23,Male,White,Italy,Italy,Italy,Italian,Yes,Other,
630679f5b7ff00e40437071a,5ecfa3e67fd043000aee9fb4,APPROVED,2022-08-24T19:21:20.224000Z,2022-08-24T21:12:14.854000Z,2022-09-02T13:27:38.185000Z,2022-08-24T21:12:15.257203Z,6655.0,763C1391,205,5.0,98.0,"English, Polish",20,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time,
63067dc0936af5ee06bee908,5eceef5fa487421604c337ba,APPROVED,2022-08-24T19:36:31.999000Z,2022-08-24T21:03:54.001000Z,2022-09-02T13:27:38.274000Z,2022-08-24T21:03:54.386526Z,5243.0,763C1391,647,1.0,100.0,"Greek, English",25,Male,White,Greece,Greece,Greece,Greek,Yes,Full-Time,
63067f4d107c8e2d3e27dd8d,62b8cd151b5fd0f9be7d1f11,APPROVED,2022-08-24T19:43:47.243000Z,2022-08-24T21:05:54.949000Z,2022-09-02T13:27:38.364000Z,2022-08-24T21:05:55.322546Z,4928.0,763C1391,171,0.0,100.0,English,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),
630681f1d9c6a67b4b78ebdf,611e0d5e51e659a7bab55418,APPROVED,2022-08-24T19:54:47.427000Z,2022-08-24T21:51:19.899000Z,2022-09-02T13:27:38.453000Z,2022-08-24T21:51:20.259892Z,6993.0,763C1391,106,1.0,100.0,English,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,
630699eaa6d21ead0b3dd369,5b222aff59f9620001c109cb,APPROVED,2022-08-24T21:36:42.733000Z,2022-08-24T23:11:47.142000Z,2022-09-02T13:27:38.543000Z,2022-08-24T23:11:47.532829Z,5705.0,763C1391,733,1.0,100.0,"English, Finnish, Italian, Indonesian",29,Male,Mixed,Finland,Finland,Finland,Finnish,DATA_EXPIRED,DATA_EXPIRED,
63069be2ac92efec51f68743,62c5e361c48779e400a888a1,APPROVED,2022-08-24T21:53:44.813000Z,2022-08-25T01:02:56.515000Z,2022-09-02T13:27:38.638000Z,2022-08-25T01:02:57.018593Z,11352.0,763C1391,60,1.0,100.0,English,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
