,s1_image,s2_image,s3_image,action1,action2
88,trident.png,fox.png,apple.png,1,8
89,trident.png,bell.png,train.png,1,2
90,planet.png,tree.png,snorkel.png,9,8
91,trident.png,tree.png,snorkel.png,1,8
92,planet.png,tree.png,snorkel.png,9,8
93,trident.png,tree.png,north.png,1,2
94,trident.png,fox.png,apple.png,1,8
95,planet.png,tree.png,north.png,9,2
96,trident.png,fox.png,hammer.png,1,2
97,trident.png,bell.png,train.png,1,2
98,trident.png,tree.png,north.png,1,2
99,trident.png,bell.png,tophat.png,1,8
100,trident.png,fox.png,hammer.png,1,2
101,planet.png,tree.png,north.png,9,2
102,trident.png,fox.png,apple.png,1,8
103,trident.png,fox.png,apple.png,1,8
104,planet.png,unicorn.png,window.png,9,8
105,planet.png,tree.png,snorkel.png,9,8
106,planet.png,bell.png,tophat.png,9,8
107,planet.png,tree.png,snorkel.png,9,8
108,trident.png,fox.png,apple.png,1,8
109,trident.png,bell.png,train.png,1,2
110,trident.png,fox.png,hammer.png,1,2
111,planet.png,tree.png,snorkel.png,9,8
112,trident.png,fox.png,apple.png,1,8
113,trident.png,fox.png,apple.png,1,8
114,planet.png,bell.png,tophat.png,9,8
115,trident.png,bell.png,tophat.png,1,8
116,planet.png,bell.png,tophat.png,9,8
117,trident.png,bell.png,tophat.png,1,8
118,trident.png,bell.png,tophat.png,1,8
119,trident.png,bell.png,tophat.png,1,8
120,trident.png,fox.png,hammer.png,1,2
121,planet.png,tree.png,snorkel.png,9,8
122,planet.png,tree.png,north.png,9,2
123,trident.png,bell.png,tophat.png,1,8
124,trident.png,tree.png,snorkel.png,1,8
125,planet.png,tree.png,snorkel.png,9,8
126,planet.png,bell.png,tophat.png,9,8
127,planet.png,tree.png,snorkel.png,9,8
128,trident.png,fox.png,apple.png,1,8
129,planet.png,unicorn.png,window.png,9,2
130,trident.png,fox.png,hammer.png,1,2
131,trident.png,bell.png,tophat.png,1,8
132,planet.png,bell.png,tophat.png,9,8
133,trident.png,bell.png,tophat.png,1,8
134,planet.png,bell.png,tophat.png,9,8
135,trident.png,tree.png,snorkel.png,1,8
136,trident.png,tree.png,north.png,1,2
137,trident.png,tree.png,snorkel.png,1,8
