sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,0.5,1,1,0.4841,0.30415,6,0,1,2
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,0.5,1,1,3.0031,1.4856,1,4,1,2
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,0.5,1,1,0.5188,1.4856,2,3,0,2
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,0.5,1,1,2.0356,1.4856,3,2,1,2
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,0.5,1,1,0.7837,1.4856,4,7,1,2
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,0.5,1,1,0.6675,1.4856,5,0,0,2
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.666666667,0.5,1,1,0.6194,1.4856,6,8,1,2
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,0.75,0.75,0.75,1.5181,0.959,1,8,1,2
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,0.75,0.75,0.75,1.173,0.959,2,1,1,2
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,0.75,0.75,0.75,1.3785,0.959,3,9,1,2
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,0.75,0.75,0.75,1.2343,0.959,4,0,1,2
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,0.75,0.75,0.75,1.1008,0.959,5,5,0,2
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.833333333,0.75,0.75,0.75,1.1284,0.959,6,3,1,2
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,0.5,1,0.25,0.8852,0.2271,1,0,0,2
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,0.5,1,0.25,1.0436,0.2271,2,3,0,2
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,0.5,1,0.25,0.6691,0.2271,3,6,0,2
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,0.5,1,0.25,0.6752,0.2271,4,4,0,2
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,0.5,1,0.25,0.8295,0.2271,5,5,1,2
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.333333333,0.5,1,0.25,0.6434,0.2271,6,1,1,2
5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1,0.75,1.6182,0.37275,1,2,1,2
5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1,0.75,3.934,0.37275,2,0,0,2
5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1,0.75,0.6908,0.37275,3,7,0,2
5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1,0.75,0.4359,0.37275,4,9,0,2
5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1,0.75,0.4584,0.37275,5,5,1,2
5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1,0.75,0.4197,0.37275,6,6,1,2
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,0.5,1,0.75,0.5734,0.3132,1,8,1,2
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,0.5,1,0.75,2.1381,0.3132,2,3,1,2
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,0.5,1,0.75,0.4953,0.3132,3,2,1,2
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,0.5,1,0.75,1.3213,0.3132,4,4,1,2
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,0.5,1,0.75,0.5336,0.3132,5,1,0,2
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.833333333,0.5,1,0.75,1.9716,0.3132,6,6,1,2
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1,0.25,0.8217,0.3428,1,7,0,2
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1,0.25,1.093,0.3428,2,5,0,2
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1,0.25,0.9371,0.3428,3,8,1,2
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1,0.25,1.6885,0.3428,4,0,1,2
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1,0.25,1.3533,0.3428,5,1,1,2
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1,0.25,0.7224,0.3428,6,9,0,2
