,sub,SR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers,experiment,log_rt_planning,PR,MB,BR
78,56ce42d9465e580006846f57_study6_2023-08-14_15h13.17.694.csv,0.666666667,0.5,0.5,0.0,3.1203,0.7201,1,0,0,1,1.466294338772376,-0.9351017630957245,-0.8512688978323589,-1.9468348900279673
79,56ce42d9465e580006846f57_study6_2023-08-14_15h13.17.694.csv,0.666666667,0.5,0.5,0.0,2.4843,0.7201,2,7,0,1,1.2383561174529432,-0.9351017630957245,-0.8512688978323589,-1.9468348900279673
80,56ce42d9465e580006846f57_study6_2023-08-14_15h13.17.694.csv,0.666666667,0.5,0.5,0.0,0.9902,0.7201,3,3,0,1,0.3185168516725015,-0.9351017630957245,-0.8512688978323589,-1.9468348900279673
81,56ce42d9465e580006846f57_study6_2023-08-14_15h13.17.694.csv,0.666666667,0.5,0.5,0.0,0.7364,0.7201,4,5,0,1,0.022383358104101688,-0.9351017630957245,-0.8512688978323589,-1.9468348900279673
82,5Bee_study6_2023-08-14_12h49.38.721.csv,0.5,0.5,0.5,0.0,1.2341,0.73,1,4,0,1,0.525052704316701,-0.7684350960957245,-0.8512688978323589,-1.9468348900279673
83,5Bee_study6_2023-08-14_12h49.38.721.csv,0.5,0.5,0.5,0.0,0.7023,0.73,2,3,0,1,-0.038683870977462,-0.7684350960957245,-0.8512688978323589,-1.9468348900279673
84,5Bee_study6_2023-08-14_12h49.38.721.csv,0.5,0.5,0.5,0.0,0.6501,0.73,3,5,0,1,-0.11591833693201367,-0.7684350960957245,-0.8512688978323589,-1.9468348900279673
85,5Bee_study6_2023-08-14_12h49.38.721.csv,0.5,0.5,0.5,0.0,1.151,0.73,4,1,1,1,0.4553418745794459,-0.7684350960957245,-0.8512688978323589,-1.9468348900279673
86,5c3b70640eaa0100018ea877_study6_2023-08-17_20h08.23.247.csv,0.666666667,0.25,0.25,0.0,0.631,1.223,1,5,0,1,-0.6617562731459593,-0.9351017630957245,-0.8512688978323589,-2.1968348900279673
87,5c3b70640eaa0100018ea877_study6_2023-08-17_20h08.23.247.csv,0.666666667,0.25,0.25,0.0,1.624,1.223,2,6,0,1,0.28358538503445097,-0.9351017630957245,-0.8512688978323589,-2.1968348900279673
88,5c3b70640eaa0100018ea877_study6_2023-08-17_20h08.23.247.csv,0.666666667,0.25,0.25,0.0,0.913,1.223,3,0,0,1,-0.2923262550922039,-0.9351017630957245,-0.8512688978323589,-2.1968348900279673
89,5c3b70640eaa0100018ea877_study6_2023-08-17_20h08.23.247.csv,0.666666667,0.25,0.25,0.0,1.371,1.223,4,3,0,1,0.11423354387514194,-0.9351017630957245,-0.8512688978323589,-2.1968348900279673
90,5study6_2023-08-14_15h13.08.651.csv,0.166666667,0.25,0.25,0.0,2.0288,0.8466,1,6,1,1,0.8739714361560833,-0.43510176309572446,-0.8512688978323589,-2.1968348900279673
91,5study6_2023-08-14_15h13.08.651.csv,0.166666667,0.25,0.25,0.0,0.2846,0.8466,2,0,1,1,-1.0901436424310713,-0.43510176309572446,-0.8512688978323589,-2.1968348900279673
92,5study6_2023-08-14_15h13.08.651.csv,0.166666667,0.25,0.25,0.0,1.353,0.8466,3,5,1,1,0.4688513000839647,-0.43510176309572446,-0.8512688978323589,-2.1968348900279673
93,5study6_2023-08-14_15h13.08.651.csv,0.166666667,0.25,0.25,0.0,0.3985,0.8466,4,1,0,1,-0.7535208298565536,-0.43510176309572446,-0.8512688978323589,-2.1968348900279673
94,6483648c280beabafcb3797e_study6_2023-08-14_17h35.17.544.csv,0.5,0.25,0.5,0.25,3.0055,0.887,1,6,0,1,1.2203542401696372,-0.7684350960957245,-0.6012688978323589,-2.1968348900279673
95,6483648c280beabafcb3797e_study6_2023-08-14_17h35.17.544.csv,0.5,0.25,0.5,0.25,0.6225,0.887,2,2,0,1,-0.3541013539707167,-0.7684350960957245,-0.6012688978323589,-2.1968348900279673
