sub,choice,PR_EV,SR_EV,MB_EV,BR_EV
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.2,-0.08,-0.08,1.0
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.2,-0.08,-0.08,1.0
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.0,0.0,0.5,-1.0
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,0,0.0,0.0,0.5,1.0
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.0,0.0,0.5,1.0
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1,0.0,0.0,0.5,-1.0
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,1,1.0,0.2,0.2,1.0
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,1,1.0,0.2,0.2,1.0
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,1,0.5,0.025,0.025,-1.0
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0,0.2,-0.08,-0.08,1.0
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,1,0.2,-0.08,-0.08,1.0
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,1,0.2,-0.15,-0.15,1.0
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0,0.2,-0.08,-0.08,1.0
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0,0.2,-0.08,-0.08,1.0
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,1,0.5,0.025,0.025,-1.0
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0,0.2,-0.15,-0.15,1.0
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,1,0.0,0.0,0.5,1.0
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,1,0.0,0.0,0.5,-1.0
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,1,0.0,0.0,0.5,1.0
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,1,0.0,0.0,0.5,-1.0
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,1,1.0,0.2,0.2,1.0
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0,0.2,-0.08,-0.08,1.0
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,1,0.2,-0.08,-0.08,1.0
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,1,1.0,0.2,0.2,1.0
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,1,0.5,0.025,0.025,-1.0
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0,0.2,-0.15,-0.15,1.0
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0,0.2,-0.15,-0.15,1.0
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,1,0.2,-0.08,-0.08,1.0
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,1,0.5,0.025,0.025,-1.0
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,1,0.2,-0.08,-0.08,1.0
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,1,0.0,0.0,0.5,-1.0
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,1,0.0,0.0,0.5,1.0
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,1,0.0,0.0,0.5,1.0
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,1,0.0,0.0,0.5,-1.0
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,1,0.2,-0.08,-0.08,1.0
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0,0.2,-0.08,-0.08,1.0
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,1,0.2,-0.15,-0.15,1.0
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,1,1.0,0.2,0.2,1.0
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,1,0.2,-0.15,-0.15,1.0
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,1,0.5,0.025,0.025,-1.0
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,1,0.5,0.025,0.025,-1.0
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0,0.2,-0.08,-0.08,1.0
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,1,0.2,-0.08,-0.08,1.0
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,1,1.0,0.2,0.2,1.0
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,1,0.5,0.025,0.025,-1.0
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,1,0.2,-0.08,-0.08,1.0
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0,0.5,0.025,0.025,-1.0
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,1,0.2,-0.15,-0.15,1.0
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,1,0.2,-0.08,-0.08,1.0
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,1,0.2,-0.08,-0.08,1.0
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0,0.2,-0.15,-0.15,1.0
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,1,0.2,-0.08,-0.08,1.0
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,1,1.0,0.2,0.2,1.0
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,1,1.0,0.2,0.2,1.0
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,1,0.0,0.0,0.5,1.0
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0,0.0,0.0,0.5,-1.0
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,1,0.0,0.0,0.5,-1.0
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,1,0.0,0.0,0.5,1.0
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0,0.2,-0.15,-0.15,1.0
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0,0.2,-0.08,-0.08,1.0
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,1,1.0,0.2,0.2,1.0
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0,0.2,-0.08,-0.08,1.0
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0,0.2,-0.08,-0.08,1.0
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,1,0.2,-0.08,-0.08,1.0
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,1,0.5,0.025,0.025,-1.0
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,1,1.0,0.2,0.2,1.0
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,1,0.2,-0.15,-0.15,1.0
