sub,PR Evidence,bias_highbaserate,pre_map_change,post_map_change,rt_planning_pr,median_RT_actionselection,trial_num,planning_q,PR_individual_answers
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.8333333333333334,0.75,0.75,0.0,1.0507,0.53345,1,9.0,1
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.8333333333333334,0.75,0.75,0.0,1.3042,0.53345,2,5.0,1
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.8333333333333334,0.75,0.75,0.0,0.6066,0.53345,3,7.0,1
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.8333333333333334,0.75,0.75,0.0,0.8183,0.53345,4,0.0,0
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.8333333333333334,0.75,0.75,0.0,1.5014,0.53345,5,8.0,1
5fbae54831099083583afff0_study2_2022-11-23_04h19.24.960.csv,0.8333333333333334,0.75,0.75,0.0,1.4164,0.53345,6,1.0,1
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1.0,0.75,0.75,0.75,9.8656,1.0342,1,0.0,1
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1.0,0.75,0.75,0.75,5.7748,1.0342,2,1.0,1
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1.0,0.75,0.75,0.75,1.7268,1.0342,3,7.0,1
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1.0,0.75,0.75,0.75,4.9342,1.0342,4,8.0,1
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1.0,0.75,0.75,0.75,0.534,1.0342,5,4.0,1
5b992a5224a3450001fa3454_study2_2022-11-23_10h53.20.433.csv,1.0,0.75,0.75,0.75,0.5222,1.0342,6,6.0,1
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.3333333333333333,0.5,1.0,1.0,1.8039,0.4367,1,7.0,0
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.3333333333333333,0.5,1.0,1.0,1.6153,0.4367,2,6.0,1
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.3333333333333333,0.5,1.0,1.0,5.2884,0.4367,3,8.0,1
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.3333333333333333,0.5,1.0,1.0,1.5475,0.4367,4,3.0,0
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.3333333333333333,0.5,1.0,1.0,4.4486,0.4367,5,4.0,0
61333a6aeba7e6f02294f861_study2_2022-11-23_10h51.25.338.csv,0.3333333333333333,0.5,1.0,1.0,2.0495,0.4367,6,0.0,0
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,0.5,1.0,1.0,0.8008,0.30415000000000003,1,6.0,0
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,0.5,1.0,1.0,0.7179,0.30415000000000003,2,4.0,1
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,0.5,1.0,1.0,0.701,0.30415000000000003,3,3.0,0
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,0.5,1.0,1.0,0.6319,0.30415000000000003,4,7.0,0
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,0.5,1.0,1.0,0.7179,0.30415000000000003,5,8.0,1
58ae2cb09e040a000139af76_study2_2022-11-23_13h25.08.142.csv,0.5,0.5,1.0,1.0,0.4841,0.30415000000000003,6,0.0,1
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.6666666666666666,0.5,1.0,1.0,3.0031,1.4856,1,4.0,1
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.6666666666666666,0.5,1.0,1.0,0.5188,1.4856,2,3.0,0
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.6666666666666666,0.5,1.0,1.0,2.0356,1.4856,3,2.0,1
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.6666666666666666,0.5,1.0,1.0,0.7837,1.4856,4,7.0,1
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.6666666666666666,0.5,1.0,1.0,0.6675,1.4856,5,0.0,0
614d061aa0abbd89a703844f_study2_2022-11-22_02h01.28.559.csv,0.6666666666666666,0.5,1.0,1.0,0.6194,1.4856,6,8.0,1
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.8333333333333334,0.75,0.75,0.75,1.5181,0.9590000000000001,1,8.0,1
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.8333333333333334,0.75,0.75,0.75,1.173,0.9590000000000001,2,1.0,1
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.8333333333333334,0.75,0.75,0.75,1.3785,0.9590000000000001,3,9.0,1
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.8333333333333334,0.75,0.75,0.75,1.2343,0.9590000000000001,4,0.0,1
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.8333333333333334,0.75,0.75,0.75,1.1008,0.9590000000000001,5,5.0,0
5789972670c76a00012433b3_study2_2022-11-23_10h52.52.333.csv,0.8333333333333334,0.75,0.75,0.75,1.1284,0.9590000000000001,6,3.0,1
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.3333333333333333,0.5,1.0,0.25,0.8852,0.22710000000000002,1,0.0,0
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.3333333333333333,0.5,1.0,0.25,1.0436,0.22710000000000002,2,3.0,0
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.3333333333333333,0.5,1.0,0.25,0.6691,0.22710000000000002,3,6.0,0
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.3333333333333333,0.5,1.0,0.25,0.6752,0.22710000000000002,4,4.0,0
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.3333333333333333,0.5,1.0,0.25,0.8295,0.22710000000000002,5,5.0,1
5f42e037b2f15d1424da5187_study2_2022-11-22_14h06.27.765.csv,0.3333333333333333,0.5,1.0,0.25,0.6434,0.22710000000000002,6,1.0,1
5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1.0,0.75,1.6182,0.37275,1,2.0,1
5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1.0,0.75,3.934,0.37275,2,0.0,0
5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1.0,0.75,0.6908,0.37275,3,7.0,0
5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1.0,0.75,0.4359,0.37275,4,9.0,0
5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1.0,0.75,0.4584,0.37275,5,5.0,1
5Caleb_study2_2022-11-23_09h22.30.683.csv,0.5,0.5,1.0,0.75,0.4197,0.37275,6,6.0,1
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.8333333333333334,0.5,1.0,0.75,0.5734,0.31320000000000003,1,8.0,1
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.8333333333333334,0.5,1.0,0.75,2.1381,0.31320000000000003,2,3.0,1
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.8333333333333334,0.5,1.0,0.75,0.4953,0.31320000000000003,3,2.0,1
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.8333333333333334,0.5,1.0,0.75,1.3213,0.31320000000000003,4,4.0,1
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.8333333333333334,0.5,1.0,0.75,0.5336,0.31320000000000003,5,1.0,0
5fa25dd28b0f6842755417f3_study2_2022-11-23_10h51.23.419.csv,0.8333333333333334,0.5,1.0,0.75,1.9716,0.31320000000000003,6,6.0,1
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1.0,0.25,0.8217,0.3428,1,7.0,0
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1.0,0.25,1.093,0.3428,2,5.0,0
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1.0,0.25,0.9371,0.3428,3,8.0,1
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1.0,0.25,1.6885,0.3428,4,0.0,1
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1.0,0.25,1.3533,0.3428,5,1.0,1
5d0ba121619661001a7f4fe6_study2_2022-11-23_11h55.18.874.csv,0.5,0.5,1.0,0.25,0.7224,0.3428,6,9.0,0
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.8333333333333334,0.75,0.75,0.75,4.4296,0.29985,1,4.0,0
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.8333333333333334,0.75,0.75,0.75,3.0632,0.29985,2,2.0,1
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.8333333333333334,0.75,0.75,0.75,0.6002,0.29985,3,3.0,1
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.8333333333333334,0.75,0.75,0.75,0.6151,0.29985,4,8.0,1
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.8333333333333334,0.75,0.75,0.75,0.2814,0.29985,5,9.0,1
5de00d05988d7c0877eaa15a_study2_2022-11-23_11h41.29.545.csv,0.8333333333333334,0.75,0.75,0.75,0.3773,0.29985,6,5.0,1
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.8333333333333334,0.5,1.0,0.25,0.9094,0.45285,1,6.0,0
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.8333333333333334,0.5,1.0,0.25,0.12,0.45285,2,5.0,1
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.8333333333333334,0.5,1.0,0.25,0.7945,0.45285,3,9.0,1
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.8333333333333334,0.5,1.0,0.25,0.6854,0.45285,4,3.0,1
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.8333333333333334,0.5,1.0,0.25,0.3354,0.45285,5,4.0,1
601d1b8bca9e070519cdb841_study2_2022-11-23_11h54.05.161.csv,0.8333333333333334,0.5,1.0,0.25,0.4861,0.45285,6,8.0,1
5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.6666666666666666,0.25,0.75,0.75,1.6833,0.23345,1,0.0,0
5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.6666666666666666,0.25,0.75,0.75,1.1505,0.23345,2,2.0,1
5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.6666666666666666,0.25,0.75,0.75,0.7878,0.23345,3,8.0,1
5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.6666666666666666,0.25,0.75,0.75,0.9895,0.23345,4,9.0,0
5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.6666666666666666,0.25,0.75,0.75,1.3989,0.23345,5,1.0,1
5ff4a242cbe069bc27d9278b_study2_2022-11-22_16h32.49.082.csv,0.6666666666666666,0.25,0.75,0.75,0.8009,0.23345,6,3.0,1
5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1.0,0.75,0.9004,0.7324,1,8.0,1
5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1.0,0.75,0.8433,0.7324,2,1.0,0
5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1.0,0.75,0.4981,0.7324,3,5.0,0
5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1.0,0.75,0.5832,0.7324,4,9.0,1
5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1.0,0.75,2.7632,0.7324,5,4.0,0
5f009c12dac7c81b0e9c0d06_study2_2022-11-23_10h55.40.223.csv,0.5,0.5,1.0,0.75,0.7497,0.7324,6,3.0,1
5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1.0,0.5,1.0,0.0,8.8238,0.7375,1,1.0,1
5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1.0,0.5,1.0,0.0,2.4284,0.7375,2,4.0,1
5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1.0,0.5,1.0,0.0,4.9731,0.7375,3,7.0,1
5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1.0,0.5,1.0,0.0,1.8297,0.7375,4,8.0,1
5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1.0,0.5,1.0,0.0,7.4694,0.7375,5,3.0,1
5fbfe145e52a44000a9c2966_study2_2022-11-23_10h58.38.413.csv,1.0,0.5,1.0,0.0,1.654,0.7375,6,5.0,1
5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.6666666666666666,0.25,0.25,0.5,3.6586,0.8605,1,3.0,0
5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.6666666666666666,0.25,0.25,0.5,4.008,0.8605,2,4.0,1
5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.6666666666666666,0.25,0.25,0.5,2.1819,0.8605,3,2.0,1
5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.6666666666666666,0.25,0.25,0.5,1.4295,0.8605,4,6.0,0
5PARTICIPANT_study2_2022-11-23_11h53.11.001.csv,0.6666666666666666,0.25,0.25,0.5,0.702,0.8605,5,5.0,1
